WARNING: empty or missing file
nb
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        127 111  53  56  74  50  58  34  57  58  62 1         
all                  all        108 124  60  62  48  50  44  33  44  44  53 3         
all                  all         59 205  35  30  24  50  41  13  44  42  55 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        120 126  48  48  72  53  60  28  60  60  66 1         
all                  all         96 142  43  56  53  53  55  28  49  52  62 3         
all                  all         78 181  48  35  30  53  38  16  46  42  53 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        122 119  56  53  66  52  54  31  55  55  61 1         
all                  all        105 135  48  54  57  52  54  29  51  53  62 3         
all                  all         67 192  38  35  29  52  43  15  45  44  57 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        117 131  50  46  67  52  57  26  59  58  65 1         
all                  all        109 127  50  58  59  52  54  31  50  52  61 3         
all                  all         68 188  42  38  26  52  38  17  41  39  52 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        133 103  60  58  73  49  55  36  56  55  59 1         
all                  all         95 139  53  60  42  49  44  30  41  43  54 3         
all                  all         66 195  38  33  28  49  42  14  46  44  57 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        124 123  59  47  65  49  52  28  58  55  61 1         
all                  all        119 109  54  66  65  49  55  38  50  52  58 3         
all                  all         51 206  37  37  14  49  27  15  27  27  41 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        125 116  62  53  63  46  50  31  54  52  58 1         
all                  all         91 124  43  79  48  46  53  39  38  44  57 3         
all                  all         78 189  54  27  24  46  31  13  47  37  46 2         
